"company","batch","yc_url"
"Zephyr Fusion","F25","https://www.ycombinator.com/companies/zephyr-fusion"
"Anchorhead","W26","https://www.ycombinator.com/companies/anchorhead"
"ARC Prize Foundation","W26","https://www.ycombinator.com/companies/arc-prize-foundation"
"AxionOrbital Space","W26","https://www.ycombinator.com/companies/axionorbital-space"
"Beyond Reach Labs","W26","https://www.ycombinator.com/companies/beyond-reach-labs"
"Booko","W26","https://www.ycombinator.com/companies/booko"
"Byteport","W26","https://www.ycombinator.com/companies/byteport"
"Caretta","W26","https://www.ycombinator.com/companies/caretta"
"CatchBack Cards","W26","https://www.ycombinator.com/companies/catchback-cards"
"Constellation Space","W26","https://www.ycombinator.com/companies/constellation-space"
"Crosslayer Labs","W26","https://www.ycombinator.com/companies/crosslayer-labs"
"DAIVIN!","W26","https://www.ycombinator.com/companies/daivin"
"Doomersion","W26","https://www.ycombinator.com/companies/doomersion"
"Fort","W26","https://www.ycombinator.com/companies/fort"
"Forum","W26","https://www.ycombinator.com/companies/forum"
"Galactic Resource Utilization Space, Inc. (GRU Space)","W26","https://www.ycombinator.com/companies/galactic-resource-utilization-space-inc-gru-space"
"General Astronautics","W26","https://www.ycombinator.com/companies/generalastro"
"General Legal","W26","https://www.ycombinator.com/companies/general-legal"
"Hlabs","W26","https://www.ycombinator.com/companies/hlabs"
"Kyten Technologies","W26","https://www.ycombinator.com/companies/kyten-technologies"
"Laurence","W26","https://www.ycombinator.com/companies/laurence"
"Mendral","W26","https://www.ycombinator.com/companies/mendral"
"Milliray","W26","https://www.ycombinator.com/companies/milliray"
"o11","W26","https://www.ycombinator.com/companies/o11"
"OctaPulse","W26","https://www.ycombinator.com/companies/octapulse"
"Orthogonal","W26","https://www.ycombinator.com/companies/orthogonal"
"Oximy","W26","https://www.ycombinator.com/companies/oximy"
"Palus Finance","W26","https://www.ycombinator.com/companies/palus-finance"
"Polymorph","W26","https://www.ycombinator.com/companies/polymorph"
"Prana","W26","https://www.ycombinator.com/companies/prana-health"
"Remy AI","W26","https://www.ycombinator.com/companies/remy-ai"
"RoboDock","W26","https://www.ycombinator.com/companies/robodock"
"Samora AI","W26","https://www.ycombinator.com/companies/samora-ai"
"Sequence Markets","W26","https://www.ycombinator.com/companies/sequence-markets"
"shortkit","W26","https://www.ycombinator.com/companies/shortkit"
"Signals","W26","https://www.ycombinator.com/companies/signals"
"Sparkles","W26","https://www.ycombinator.com/companies/sparkles"
"SpotPay","W26","https://www.ycombinator.com/companies/spotpay"
"Talking Computers","W26","https://www.ycombinator.com/companies/talking-computers"
"Terminal Use","W26","https://www.ycombinator.com/companies/terminal-use"
"Travo","W26","https://www.ycombinator.com/companies/travo"
"Turnstone","W26","https://www.ycombinator.com/companies/turnstone"
"Unifold","W26","https://www.ycombinator.com/companies/unifold"
"Unisson","W26","https://www.ycombinator.com/companies/unisson"
"Valence","W26","https://www.ycombinator.com/companies/valence"
"Vector Legal","W26","https://www.ycombinator.com/companies/vector-legal"
"Veriad","W26","https://www.ycombinator.com/companies/veriad"
"Voltair","W26","https://www.ycombinator.com/companies/voltair"
"ZeroSettle","W26","https://www.ycombinator.com/companies/zerosettle"
"Zymbly","W26","https://www.ycombinator.com/companies/zymbly"
"9 Mothers","P26","https://www.ycombinator.com/companies/9-mothers-corporation"
"AbInitio Bio","P26","https://www.ycombinator.com/companies/abinitio-bio"
"Adialante","P26","https://www.ycombinator.com/companies/adialante"
"Advanced Metal Research","P26","https://www.ycombinator.com/companies/advanced-metal-research"
"AICE","P26","https://www.ycombinator.com/companies/aice"
"Akkari","P26","https://www.ycombinator.com/companies/akkari"
"ANORIA","P26","https://www.ycombinator.com/companies/anoria"
"Apollo Atomics, Inc.","P26","https://www.ycombinator.com/companies/apollo-atomics-inc"
"Arlo Industries","P26","https://www.ycombinator.com/companies/arlo-industries"
"Arzana","P26","https://www.ycombinator.com/companies/arzana"
"Aseon Labs","P26","https://www.ycombinator.com/companies/aseon-labs"
"Aster","P26","https://www.ycombinator.com/companies/asterlab"
"Auxos","P26","https://www.ycombinator.com/companies/auxos"
"Avea Robotics","P26","https://www.ycombinator.com/companies/avea-robotics"
"CharacterQuilt","P26","https://www.ycombinator.com/companies/characterquilt"
"Chert","P26","https://www.ycombinator.com/companies/chert"
"Cignara","P26","https://www.ycombinator.com/companies/cignara"
"Clawvisor","P26","https://www.ycombinator.com/companies/clawvisor"
"Dayjob","P26","https://www.ycombinator.com/companies/dayjob"
"Deep Interactions","P26","https://www.ycombinator.com/companies/deep-interactions"
"Dispatch","P26","https://www.ycombinator.com/companies/dispatch"
"Dreach","P26","https://www.ycombinator.com/companies/dreach"
"Eden Robotics","P26","https://www.ycombinator.com/companies/eden-robotics"
"flowscope","P26","https://www.ycombinator.com/companies/flowscope"
"Fuchsia","P26","https://www.ycombinator.com/companies/fuchsia"
"General Aviation","P26","https://www.ycombinator.com/companies/general-aviation"
"General Instinct","P26","https://www.ycombinator.com/companies/general-instinct"
"Gigacatalyst","P26","https://www.ycombinator.com/companies/gigacatalyst"
"GovGuard","P26","https://www.ycombinator.com/companies/govguard"
"Gravy","P26","https://www.ycombinator.com/companies/gravy"
"HEVN, inc","P26","https://www.ycombinator.com/companies/hevn-inc"
"Hexa","P26","https://www.ycombinator.com/companies/hexa"
"HeyClicky","P26","https://www.ycombinator.com/companies/heyclicky"
"Huscarl","P26","https://www.ycombinator.com/companies/huscarl"
"Incandor","P26","https://www.ycombinator.com/companies/incandor"
